Table	Op	Msg_type	Msg_text
comercioexterior.cliente	optimize	status	Table is already up to date
comercioexterior.opbga	optimize	status	Table is already up to date
comercioexterior.opcbe	optimize	status	Table is already up to date
comercioexterior.opcbi	optimize	status	Table is already up to date
comercioexterior.opcce	optimize	status	Table is already up to date
comercioexterior.opcci	optimize	status	Table is already up to date
comercioexterior.opcdpa	optimize	status	Table is already up to date
comercioexterior.opcex	optimize	status	Table is already up to date
comercioexterior.opmec	optimize	status	Table is already up to date
comercioexterior.oppre	optimize	status	Table is already up to date
comercioexterior.opste	optimize	status	Table is already up to date
comercioexterior.opstr	optimize	status	Table is already up to date
comercioexterior.optbc	optimize	status	Table is already up to date
comercioexterior.excepciones	optimize	status	Table is already up to date
comercioexterior.base_operaciones	optimize	status	OK
comercioexterior.logs_tareas_automaticas	optimize	status	OK
comercioexterior.logs_tareas_manuales	optimize	status	OK
comercioexterior.envioop	optimize	status	OK
comercioexterior.openvpro	optimize	status	OK
comercioexterior.controlacceso	optimize	status	Table is already up to date
